main,sec,from
随意走进一家你从未进过的小店。,🏪不买也行，但要认真看一样东西30秒。,universe
走出你家门，左转三次。,看看第三个左转后出现的第一样让你注意的东西是什么。,universe
今天中午用非惯用手刷牙。,训练大脑，也让生活有点新奇。,universe
泡一杯热水，不加任何东西。,在喝第一口前，先闻三次香气。,universe
随机打开一首没听过的歌。,从头听到尾，不切歌，不看歌词。,universe
写下今天"想做但没做"的一件事。,只写一句，不解释理由。,universe
对今天遇到的第一个人微笑。,观察对方的反应。,universe
闭上眼睛，数十个呼吸。,吸气四秒，呼气四秒，感受身体。,universe
拍下你脚下的地面。,不修图，不加滤镜。,universe
翻开一本书的第7页，读第一句话。,写下你看到的第一个名词。,universe
对今天的天气取个名字。,让它只属于今天。,universe
路过一棵树时停三秒。,看看风是否动了树。,universe
写一封信给三天后的自己。,不寄出，只要折好放好。,universe
用五分钟清理一个被你忽略的角落。,不用打扫完，只动一点点。,universe
今天说三次"谢谢"。,哪怕是对自己。,universe
随机打开手机相册，找一张旧照片。,重看一分钟，记得那天的气味。,universe
用慢动作刷一次牙。,感受每一个泡泡。,universe
随机打开地图，放大某个陌生地名。,念出它的名字三遍。,universe
走进一条你从未走过的小巷。,看看巷子的尽头。,universe
今天吃东西时不滑手机。,专注感受第一口的味道。,universe
把闹钟调快3分钟。,体验提前开始的一天。,universe
随手写下你此刻看到的三个颜色。,这就是今天的主色调。,universe
对着镜子眨三次眼。,微笑一下，不用理由。,universe
闭眼摸索着找到一件熟悉的物品。,靠触感猜它是谁。,universe
今晚出门看看月亮。,如果没有月亮，就看最亮的灯。,universe
挑一件衣服反着穿五分钟。,体验另一种方向。,universe
用一根手指在空气里写一个词。,然后想象它慢慢消散。,universe
听听窗外的声音。,找出其中一个你平时忽略的。,universe
在洗手时注意水的温度。,让水提醒你"现在"。,universe
写下今天你想对宇宙说的一句话。,不要修改。,universe
随机数到17。,停下来的那刻，做一个深呼吸。,universe
看一朵云5秒钟。,给它起个名字。,universe
今天尝试用左手开门。,慢一点开。,universe
早上醒来前闭眼微笑三秒。,想象光透进来。,universe
用手机录一段5秒的环境音。,保存，不回听。,universe
下午时分停下来喝一杯水。,在喝之前，说一句"我在这里"。,universe
对一件旧物说声"谢谢"。,它曾陪你走过。,universe
站在阳光下15秒。,感受皮肤的温度。,universe
随机点开一个城市的天气预报。,读出那里的温度。,universe
写下"今天"的三个关键词。,放入口袋。,universe
把手机翻过来放五分钟。,让世界安静。,universe
今天在朋友圈不发任何东西。,只观察。,universe
随手画一条线。,不要停，直到你觉得够了。,universe
对着镜子眨三次眼。,看那个人是不是你。,universe
随手拍一张影子。,不修图。,universe
在洗澡时专注听水声。,感受不同节奏。,universe
今晚早点睡15分钟。,看梦会不会更清晰。,universe
写下你此刻能想到的第一个味道。,也许你想吃它。,universe
随意对一个陌生人点头。,感受连接的瞬间。,universe
写一句以"或许"开头的话。,不用想太多。,universe
今天走楼梯，不坐电梯。,数一数有几级。,universe
出门时刻意放慢脚步。,听听脚底的声音。,universe
写一个从未用过的emoji。,比如 🫧 或 🪶。,universe
坐下前深呼吸一次。,让身体回到这里。,universe
今天不听耳机。,听听真实的空气声。,universe
找一张旧明信片或包装纸。,写三个字送给未来。,universe
翻开日历，选一个日期。,为那天准备一点小事。,universe
下午两点时发呆三分钟。,什么都不做。,universe
关掉一个通知。,让安静流进来。,universe
写下今天路上看到的第一个词。,也许它是信号。,universe
今天看一次天花板。,注意光线。,universe
听自己说出名字。,然后笑一下。,universe
闭上眼想一个颜色。,睁眼后找它。,universe
给今天取个代号。,写在手心。,universe
试着用另一只脚起身。,感受新的平衡。,universe
在走路时数十步。,第十步停下，看看四周。,universe
和朋友说一句"好久不见"。,哪怕昨天刚见过。,universe
早上起床第一句话，对自己说"嗨"。,看感觉如何。,universe
把手放在心口十秒。,听听节奏。,universe
选一个方向走五分钟。,看看那边有什么。,universe
随机写下一个英文字母。,想象它代表什么。,universe
打开相机，拍今天的天空。,不调色。,universe
看一只鸟或一片叶子飞。,别眨眼。,universe
晚上关灯后看黑暗30秒。,你会看到色彩。,universe
挑一个你从没选过的杯子喝水。,让水换个容器。,universe
今天尝试不说"我应该"。,只说"我想"。,universe
对自己说一句夸奖的话。,哪怕很小。,universe
睡前用五秒感谢今天。,不管好坏。,universe
今天吃饭前说"开动"。,像在仪式。,universe
用手指轻点桌面五下。,每一下都不同。,universe
轻拍自己的肩膀。,对自己说"辛苦啦"。,universe
随机点开一张地图。,找到离你最近的河。,universe
出门时记得抬头。,看电线、树枝、云。,universe
随意在纸上画个圈。,看看里面出现了什么。,universe
今天用一句话结束白天。,可以随意编。,universe
洗手后甩三次水。,像在告别。,universe
写下一个完全没意义的词。,也许宇宙懂。,universe
今天不去解释任何事。,让沉默说话。,universe
花一分钟看自己的手。,注意纹理。,universe
写下一件让你微笑的小事。,只写名词。,universe
对着空气说"谢谢"。,不需要原因。,universe
想一个"想见的人"。,不用联系他。,universe
出门时深呼吸两次。,记得呼气更慢一点。,universe
今天不要急。,刻意放慢半拍。,universe
拍下今天的影子。,它是另一个你。,universe
今晚早点睡。,梦里会有信号。,universe
